,0
0,91.0
1,171.0
2,980.0
3,218.0
4,19.0
5,658.0
6,549.0
7,808.0
8,305.0
9,416.0
10,89.0
11,793.0
12,712.0
13,505.0
14,332.0
15,575.0
16,986.0
17,867.0
18,116.0
19,817.0
20,642.0
21,327.0
22,995.0
23,87.0
24,965.0
25,267.0
26,977.0
27,989.0
28,120.0
29,800.0
30,905.0
31,124.0
32,541.0
33,661.0
34,112.0
35,531.0
36,251.0
37,495.0
38,313.0
39,784.0
40,261.0
41,973.0
42,725.0
43,535.0
44,691.0
45,70.0
46,269.0
47,438.0
48,558.0
49,830.0
50,569.0
51,129.0
52,46.0
53,60.0
54,766.0
55,191.0
56,553.0
57,586.0
58,119.0
59,422.0
60,334.0
61,13.0
62,542.0
63,190.0
64,290.0
65,495.0
66,826.0
67,556.0
68,664.0
69,584.0
70,521.0
71,828.0
72,593.0
73,373.0
74,46.0
75,409.0
76,692.0
77,332.0
78,825.0
79,990.0
80,718.0
81,717.0
82,195.0
83,340.0
84,627.0
85,138.0
86,835.0
87,743.0
88,623.0
89,998.0
90,322.0
91,564.0
92,570.0
93,905.0
94,875.0
95,415.0
96,764.0
97,811.0
98,238.0
99,943.0
100,83.0
101,995.0
102,226.0
103,806.0
104,356.0
105,40.0
106,543.0
107,993.0
108,575.0
109,883.0
110,633.0
111,921.0
112,515.0
113,970.0
114,568.0
115,597.0
116,98.0
117,62.0
118,910.0
119,814.0
120,988.0
121,155.0
122,614.0
123,561.0
124,231.0
125,215.0
126,966.0
127,311.0
128,326.0
129,55.0
130,943.0
131,364.0
132,988.0
133,187.0
134,575.0
135,671.0
136,70.0
137,110.0
138,490.0
139,798.0
140,961.0
141,266.0
142,184.0
143,419.0
144,725.0
145,63.0
146,971.0
147,473.0
148,15.0
149,512.0
150,222.0
151,106.0
152,223.0
153,825.0
154,641.0
155,684.0
156,102.0
157,214.0
158,726.0
159,954.0
160,181.0
161,813.0
162,622.0
163,863.0
164,665.0
165,990.0
166,832.0
167,242.0
168,594.0
169,86.0
170,871.0
171,223.0
172,874.0
173,213.0
174,315.0
175,417.0
176,804.0
177,126.0
178,839.0
179,928.0
180,998.0
181,50.0
182,16.0
183,990.0
184,988.0
185,771.0
186,210.0
187,966.0
188,68.0
189,483.0
190,376.0
191,580.0
192,222.0
193,862.0
194,830.0
195,895.0
196,237.0
197,269.0
198,96.0
199,984.0
200,403.0
201,764.0
202,56.0
203,273.0
204,779.0
205,141.0
206,187.0
207,546.0
208,774.0
209,165.0
210,899.0
211,689.0
212,886.0
213,634.0
214,860.0
215,392.0
216,914.0
217,338.0
218,619.0
219,711.0
220,463.0
221,751.0
222,72.0
223,311.0
224,449.0
225,838.0
226,450.0
227,399.0
228,907.0
229,234.0
230,392.0
231,71.0
232,249.0
233,455.0
234,499.0
235,938.0
236,641.0
237,83.0
238,704.0
239,785.0
240,582.0
241,115.0
242,157.0
243,154.0
244,590.0
245,875.0
246,914.0
247,761.0
248,395.0
249,572.0
250,413.0
251,482.0
252,228.0
253,683.0
254,941.0
255,650.0
256,971.0
257,413.0
258,88.0
259,488.0
260,195.0
261,550.0
262,711.0
263,44.0
264,242.0
265,554.0
266,698.0
267,646.0
268,292.0
269,888.0
270,161.0
271,66.0
272,136.0
273,191.0
274,88.0
275,357.0
276,424.0
277,821.0
278,194.0
279,673.0
280,828.0
281,541.0
282,999.0
283,216.0
284,926.0
285,2.0
286,33.0
287,61.0
288,699.0
289,451.0
290,756.0
291,837.0
292,96.0
293,628.0
294,530.0
295,982.0
296,732.0
297,370.0
298,334.0
299,0.0
300,267.0
301,708.0
302,935.0
303,264.0
304,292.0
305,573.0
306,861.0
307,91.0
308,179.0
309,965.0
310,270.0
311,29.0
312,850.0
313,608.0
314,4.0
315,220.0
316,113.0
317,424.0
318,405.0
319,116.0
320,159.0
321,447.0
322,809.0
323,237.0
324,975.0
325,104.0
326,13.0
327,897.0
328,280.0
329,388.0
330,617.0
331,538.0
332,55.0
333,780.0
334,888.0
335,834.0
336,720.0
337,180.0
338,238.0
339,164.0
340,485.0
341,640.0
342,481.0
343,492.0
344,422.0
345,173.0
346,657.0
347,941.0
348,907.0
349,215.0
350,686.0
351,680.0
352,16.0
353,210.0
354,700.0
355,616.0
356,728.0
357,509.0
358,738.0
359,252.0
360,595.0
361,4.0
362,808.0
363,809.0
364,782.0
365,645.0
366,9.0
367,421.0
368,699.0
